iter	Passed	Remaining
906	1005	103
907	1006	101
908	1007	100
909	1008	99
910	1008	98
911	1009	97
912	1011	96
913	1012	95
914	1013	94
915	1014	93
916	1015	91
917	1016	90
918	1016	89
919	1017	88
920	1018	87
921	1019	86
922	1020	85
923	1021	83
924	1022	82
925	1022	81
926	1023	80
927	1024	79
928	1025	78
929	1026	77
930	1027	76
931	1028	75
932	1029	73
933	1030	72
934	1031	71
935	1032	70
936	1033	69
937	1034	68
938	1035	67
939	1036	66
940	1037	65
941	1037	63
942	1038	62
943	1039	61
944	1040	60
945	1041	59
946	1042	58
947	1043	57
948	1044	56
949	1045	55
950	1046	53
951	1047	52
952	1048	51
953	1048	50
954	1049	49
955	1050	48
956	1051	47
957	1052	46
958	1053	45
959	1054	43
960	1055	42
961	1056	41
962	1057	40
963	1058	39
964	1059	38
965	1060	37
966	1060	36
967	1061	35
968	1062	34
969	1063	32
970	1064	31
971	1065	30
972	1066	29
973	1067	28
974	1068	27
975	1069	26
976	1070	25
977	1071	24
978	1072	23
979	1073	21
980	1074	20
981	1075	19
982	1075	18
983	1076	17
984	1077	16
985	1078	15
986	1079	14
987	1080	13
988	1081	12
989	1082	10
990	1083	9
991	1084	8
992	1085	7
993	1086	6
994	1087	5
995	1088	4
996	1089	3
997	1090	2
998	1091	1
999	1092	0
